DATE,POPTHM
2018-01-01,327969.0
2018-02-01,328085.0
2018-03-01,328219.0
2018-04-01,328364.0
2018-05-01,328521.0
2018-06-01,328692.0
2018-07-01,328863.0
2018-08-01,329040.0
2018-09-01,329216.0
2018-10-01,329379.0
2018-11-01,329527.0
2018-12-01,329659.0
2019-01-01,329766.0
2019-02-01,329862.0
2019-03-01,329977.0
2019-04-01,330103.0
2019-05-01,330240.0
2019-06-01,330393.0
2019-07-01,330553.0
2019-08-01,330729.0
2019-09-01,330904.0
2019-10-01,331066.0
2019-11-01,331213.0
2019-12-01,331345.0
2020-01-01,331443.0
2020-02-01,331525.0
2020-03-01,331634.0
2020-04-01,331684.0
2020-05-01,331685.0
2020-06-01,331728.0
2020-07-01,331795.0
2020-08-01,331870.0
2020-09-01,331950.0
2020-10-01,332025.0
2020-11-01,332063.0
2020-12-01,332047.0
2021-01-01,331992.0
2021-02-01,331968.0
2021-03-01,332007.0
2021-04-01,332073.0
2021-05-01,332144.0
2021-06-01,332231.0
2021-07-01,332358.0
2021-08-01,332489.0
2021-09-01,332594.0
2021-10-01,332692.0
2021-11-01,332790.0
2021-12-01,332876.0
2022-01-01,332918.0
2022-02-01,332959.0
2022-03-01,333056.0
2022-04-01,333184.0
2022-05-01,333317.0
2022-06-01,333460.0
2022-07-01,333624.0
2022-08-01,333799.0
2022-09-01,333976.0
2022-10-01,334141.0
2022-11-01,334287.0
2022-12-01,334420.0
2023-01-01,334533.0
2023-02-01,334637.0
2023-03-01,334753.0
2023-04-01,334880.0
2023-05-01,335013.0
2023-06-01,335163.0
